repositoryName,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,both
sunlet/jplugin,0,0,0
vmware/vsphere-automation-sdk-java,0,0,0
eBay/parallec,0,0,0
forcedotcom/wsc,2,1,0
reinert/JJSchema,7,10,1
hantsy/angularjs-springmvc-sample-boot,1,2,0
microsoft/CDM,25,22,2
sinnerschrader/aem-react,0,2,0
snowdrop/istio-java-api,7,15,3
iamazy/elasticsearch-sql,0,0,0
jenkinsci/java-client-api,2,0,0
swagger-api/swagger-parser,1,3,1
bkiers/Liqp,0,2,0
rickfast/consul-client,62,7,0
Wikidata/Wikidata-Toolkit,53,37,4
raphaeljolivet/java2typescript,7,4,0
gsh199449/spider,0,0,0
opendatalab-de/geojson-jackson,3,3,0
bguerout/jongo,20,8,1
Omertron/api-themoviedb,82,6,0
dma-ais/AisLib,2,4,0
decentralized-identity/universal-resolver,3,4,3
cloudera/cm_api,12,0,0
damnhandy/Handy-URI-Templates,1,6,0
kklisura/chrome-devtools-java-client,14,1,0
meraki-analytics/orianna,8,10,7
Kepler-Framework/Kepler-All,14,0,0
maxmind/GeoIP2-java,23,2,0
TinkoffCreditSystems/invest-openapi-java-sdk,2,9,1
jmeter-maven-plugin/jmeter-maven-plugin,2,2,0
aws/aws-dynamodb-encryption-java,1,4,0
hantsy/angularjs-springmvc-sample,2,0,0
graphaware/neo4j-framework,6,5,0
yinwang0/pysonar2,0,1,0
graphql-java-kickstart/graphql-java-servlet,5,7,0
yinwang0/rubysonar,0,1,0
graalvm/graalvm-demos,2,1,0
ICIJ/extract,0,9,0
jenkinsci/gerrit-trigger-plugin,0,0,0
NaveenRudra/RTTM,1,0,0
jlinn/quartz-redis-jobstore,5,6,0
jenkinsci/kubernetes-cd-plugin,0,0,0
USPTO/PatentPublicData,2,3,1
graphaware/neo4j-nlp,2,0,0
arloor/HttpProxy,1,1,1
springdoc/springdoc-openapi-demos,11,0,0
helun/Ektorp,32,21,1
dadoonet/legacy-search,1,1,1
trautonen/coveralls-maven-plugin,4,4,0
numenta/htm.java,0,0,0
spotify/dbeam,0,0,0
victools/jsonschema-generator,16,2,0
jsonld-java/jsonld-java,0,3,0
hsiafan/requests,0,0,0
sendgrid/sendgrid-java,18,2,1
dschulten/hydra-java,35,13,3
borball/weixin-sdk,172,21,3
nielsbasjes/logparser,0,0,0
StripesFramework/stripes,1,0,0
vitalidze/traccar-web,14,5,0
twilio/twilio-java,431,406,403
