repositoryName,junit:junit,org.hamcrest:hamcrest-all,both
raml-org/raml-java-parser,33,17,17
arangodb/arangodb-java-driver,69,58,58
eclipse/eclipse.jdt.ls,160,4,4
SeleniumHQ/fluent-selenium,74,69,67
seleniumkit/gridrouter,26,15,14
streamnative/pulsar-flink,34,4,4
vbauer/jackdaw,0,0,0
mahmoudparsian/data-algorithms-book,1,1,1
ChargeTimeEU/Java-OCA-OCPP,99,1,1
yandex-qatools/postgresql-embedded,12,11,11
shekhargulati/99-problems,57,51,51
Progether/JAdventure,16,0,0
OfficeDev/ews-java-api,32,4,4
amihaiemil/docker-java-api,50,46,46
jboss-javassist/javassist,35,0,0
Splitet/SplitetFramework,6,5,5
matteobaccan/owner,73,13,12
beanshell/beanshell,33,18,17
cloudbees-oss/zendesk-java-client,14,2,2
apache/commons-dbutils,40,1,1
SonarSource/sonar-custom-rules-examples,13,0,0
rnewson/couchdb-lucene,12,3,3
hekailiang/squirrel,37,16,16
networknt/json-schema-validator,40,2,2
yandex-qatools/htmlelements,40,48,27
gresrun/jesque,50,0,0
acciente/oacc-core,90,86,86
datasift/dropwizard-extra,14,12,12
decorators-squad/eo-yaml,53,53,53
checkstyle/sonar-checkstyle,18,0,0
danielwegener/logback-kafka-appender,11,8,8
timols/jenkins-gitlab-merge-request-builder-plugin,2,0,0
ngageoint/elasticgeo,21,1,1
ahmetaa/zemberek-nlp,74,0,0
keycloak/keycloak-quickstarts,23,4,4
sirensolutions/siren-join,16,3,3
aws/aws-dynamodb-encryption-java,2,6,0
JCTools/JCTools,108,18,17
selendroid/selendroid,69,2,2
walkmod/walkmod-core,10,3,3
garbagemule/MobArena,38,24,23
nhaarman/ListViewAnimations,6,9,6
boonproject/boon,158,6,6
ua-parser/uap-java,3,2,2
Simmetrics/simmetrics,55,7,4
jlinn/quartz-redis-jobstore,15,10,10
apache/predictionio-sdk-java,1,0,0
RichardWarburton/lambda-behave,26,9,7
radkovo/Pdf2Dom,6,3,3
sebastianbenz/Jnario,32,11,9
Ekryd/sortpom,0,0,0
awslabs/amazon-kinesis-client,71,13,11
preon/preon,66,10,10
mslosarz/nextrtc-signaling-server,22,20,20
RUB-NDS/WS-Attacker,110,35,34
gkopff/gson-jodatime-serialisers,11,11,11
bernardosulzbach/dungeon,77,4,4
confluence-publisher/confluence-publisher,15,15,14
tobiasflohre/movie-database,2,2,2
groupon/DotCi,37,0,0
NLPchina/elasticsearch-sql,17,5,5
HiveRunner/HiveRunner,16,24,6
timols/java-gitlab-api,7,3,1
OpenPojo/openpojo,179,27,27
torakiki/sejda,198,34,34
Aconex/scrutineer,24,16,15
jmxtrans/jmxtrans-agent,35,27,27
vmi/selenese-runner-java,45,35,35
gardncl/elements-of-programming-interviews,179,1,1
pinterest/singer,32,4,4
ottogroup/flink-spector,7,11,2
OlivierLD/raspberry-coffee,15,0,0
fordfrog/apgdiff,3,1,1
movsim/movsim,11,2,2
dlsc-software-consulting-gmbh/CalendarFX,4,4,4
dschulten/hydra-java,22,8,8
neuland/jade4j,32,9,9
cache2k/cache2k,143,25,25
octo-technology/sonar-objective-c,10,3,3
apache/dubbo-admin,20,4,4
temyers/cucumber-jvm-parallel-plugin,14,4,4
RoboBinding/RoboBinding,157,81,76
