repositoryName,junit:junit,org.openjdk.jmh:jmh-generator-annprocess,both
uber/h3-java,15,0,0
uber/tchannel-java,47,0,0
julianhyde/optiq,67,0,0
springside/springside4,73,0,0
cglib/cglib,34,0,0
yellowstonegames/SquidLib,19,0,0
thomasmueller/minperf,18,0,0
davidmoten/rxjava2-extras,48,0,0
json-iterator/java,67,0,0
FasterXML/jackson-modules-base,255,0,0
iotaledger/iri,74,0,0
jsurfer/JsonSurfer,9,0,0
spotify/missinglink,20,0,0
casbin/jcasbin,18,0,0
HdrHistogram/HdrHistogram,10,0,0
jflex-de/jflex,250,0,0
beehive-lab/TornadoVM,70,0,0
commonmark/commonmark-java,40,0,0
openjdk/jcstress,31,0,0
yahoo/Oak,31,0,0
openjdk/jmh,601,0,0
openjdk/jol,17,0,0
vlingo/xoom-examples,35,0,0
arteam/100-Java-Concurrency-questions,2,0,0
JCTools/JCTools,108,0,0
helyho/Voovan,37,0,0
graalvm/graalvm-demos,2,0,0
tinylog-org/tinylog,110,0,0
dCache/nfs4j,51,0,0
neo4j-contrib/neo4j-graph-algorithms,192,0,0
GlenKPeterson/Paguro,63,0,0
killme2008/aviatorscript,65,0,0
easymock/objenesis,17,0,0
crossoverJie/JCSprout,22,0,0
davidmoten/rtree,36,0,0
vladimir-bukhtoyarov/bucket4j,22,0,0
amaembo/streamex,41,0,0
opencollab/jlatexmath,3,0,0
davidmoten/geo,10,0,0
LinShunKang/MyPerf4J,41,0,0
FastFilter/fastfilter_java,9,0,0
spotify/sparkey-java,21,0,0
ObjectLayout/ObjectLayout,13,0,0
brettwooldridge/HikariCP-benchmark,0,0,0
davidmoten/rxjava-jdbc,21,0,0
spotify/netty-zmtp,12,0,0
tdunning/t-digest,26,0,0
spotify/completable-futures,3,0,0
vmware-archive/xenon,130,0,0
