repositoryName,org.apache.logging.log4j:log4j-api,org.apache.logging.log4j:log4j-core,both
ozlerhakan/mongolastic,2,0,0
tectonicus/tectonicus,6,1,1
SourceLabOrg/kafka-webview,0,0,0
Frameworkium/frameworkium-core,110,0,0
zalando/tokens,0,0,0
JunzhouLiu/BILIBILI-HELPER,2,2,2
cheng-li/pyramid,173,7,7
jdereg/java-util,15,0,0
snazy/ohc,0,0,0
DragonetMC/DragonProxy,0,0,0
castorini/anserini,63,1,1
baidu/Jprotobuf-rpc-socket,0,0,0
JRakNet/JRakNet,102,0,0
gsh199449/spider,57,0,0
dialogflow/dialogflow-java-client,0,0,0
librespot-org/librespot-java,0,2,0
awsdocs/aws-lambda-developer-guide,0,0,0
brettwooldridge/HikariCP,13,3,2
Cicizz/jmqtt,2,2,2
javadevjournal/javadevjournal,3,0,0
beehive-lab/TornadoVM,6,0,0
dschadow/JavaSecurity,0,0,0
GoogleCloudPlatform/bank-of-anthos,55,0,0
1ssqq1lxr/iot-harbor,0,0,0
micronaut-projects/micronaut-starter,0,0,0
sofastack/sofa-common-tools,9,9,6
eliasnogueira/selenium-java-lean-test-architecture,7,0,0
apache/hbase-operator-tools,0,0,0
splunk/splunk-library-javalogging,14,14,11
Azure/azure-event-hubs-for-kafka,0,0,0
eclipse-vertx/vert.x,14,0,0
timgrossmann/StorageSystem,34,0,0
Nurtak/ObjectGraphVisualization,0,0,0
strimzi/strimzi-kafka-bridge,30,0,0
dlsc-software-consulting-gmbh/PreferencesFX,0,0,0
aharin/inproctester,2,0,0
robinfriedli/botify,0,0,0
fabric8io/elasticsearch-cloud-kubernetes,3,0,0
Exslims/MercuryTrade,47,0,0
shalousun/ApplicationPower,0,0,0
rrd4j/rrd4j,0,0,0
sagframe/sagacity-sqltoy,0,0,0
yahoo/egads,0,0,0
pinterest/DoctorK,117,0,0
codesofun/web-bee,0,0,0
arloor/HttpProxy,0,0,0
pf4j/pf4j,0,0,0
everwatchsolutions/json-data-generator,42,0,0
rstoyanchev/spring-websocket-portfolio,0,0,0
victools/jsonschema-generator,0,0,0
WasiqB/coteafs-appium,86,0,0
Scrin/RuuviCollector,0,0,0
marian-m12l/studio,0,0,0
mp911de/logstash-gelf,83,109,72
aberic/fabric-net-server,25,0,0
Aconex/scrutineer,0,0,0
humank/ddd-practitioners-ref,0,0,0
komoot/photon,0,0,0
trishullab/bayou,62,0,0
pingcap/tispark,0,0,0
VanRoy/spring-data-jest,0,0,0
cloudera/flink-tutorials,0,0,0
duydo/elasticsearch-analysis-vietnamese,0,0,0
elasticfence/elasticsearch-http-user-auth,5,0,0
elastic/support-diagnostics,153,3,3
