repositoryName,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,both
semanticvectors/semanticvectors,2,6,2
magese/ik-analyzer-solr,1,3,1
imixs/imixs-workflow,1,1,1
Novetta/CLAVIN,1,2,1
dermotte/LIRE,6,32,6
CogComp/talen,2,3,2
pranab/sifarish,2,2,2
larsga/Duke,2,2,2
lintool/twitter-tools,3,5,3
rnewson/couchdb-lucene,1,4,1
NLPchina/ansj_seg,4,10,4
lionsoul2014/jcseg,1,3,1
flaxsearch/luwak,4,14,4
senseidb/bobo,4,20,4
ahmetaa/zemberek-nlp,1,1,1
senseidb/zoie,5,16,5
dice-group/AGDISTIS,1,1,1
weiboad/fiery,0,4,0
DependencyTrack/dependency-track,0,1,0
intuit/fuzzy-matcher,1,1,1
dice-group/Palmetto,1,2,1
ysc/word,1,3,1
Stratio/cassandra-lucene-index,2,6,2
boyter/searchcode-server,1,3,1
oaqa/FlexNeuART,3,3,3
vmware-archive/xenon,1,2,1
javasoze/clue,0,6,0
