repositoryName,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-core,both
kobylynskyi/graphql-java-codegen,1,1,1
groovy/GMavenPlus,22,37,19
Cosium/git-code-format-maven-plugin,8,1,1
lukaszlenart/launch4j-maven-plugin,4,1,1
ferstl/depgraph-maven-plugin,8,16,8
maven-download-plugin/maven-download-plugin,2,1,1
git-commit-id/git-commit-id-maven-plugin,4,13,1
eirslett/frontend-maven-plugin,15,10,9
Alfresco/alfresco-sdk,7,8,5
randomizedtesting/randomizedtesting,1,1,1
gluonhq/gluonfx-maven-plugin,9,6,5
spotify/missinglink,1,2,1
reficio/p2-maven-plugin,1,3,1
moditect/moditect,4,6,4
alibaba/testable-mock,1,1,1
jflex-de/jflex,3,0,0
coveooss/fmt-maven-plugin,3,0,0
offbynull/coroutines,3,5,3
MorphiaOrg/morphia,2,1,1
asciidoctor/asciidoctor-maven-plugin,4,9,3
HubSpot/SlimFast,3,3,2
jmeter-maven-plugin/jmeter-maven-plugin,6,2,1
tcurdt/jdeb,3,1,1
raydac/mvn-golang,21,10,7
mybatis/generator,1,2,1
torquebox/jruby-maven-plugins,23,14,8
bytedeco/javacpp,3,2,2
antlr/antlr4,1,2,1
talios/clojure-maven-plugin,15,4,4
amaembo/huntbugs,1,1,1
spotify/docker-maven-plugin,5,3,2
davidB/scala-maven-plugin,15,19,12
mathieucarbou/license-maven-plugin,7,1,1
tbroyer/gwt-maven-plugin,13,11,10
confluence-publisher/confluence-publisher,1,0,0
spotify/dockerfile-maven,4,1,1
trautonen/coveralls-maven-plugin,1,7,1
sdbg/sdbg,1,0,0
eclipse/microprofile,1,1,1
victools/jsonschema-generator,1,2,1
Cornutum/tcases,5,0,0
cqfn/eo,5,4,2
electronicarts/ea-async,3,3,3
bytemanproject/byteman,1,1,1
aleksandr-m/gitflow-maven-plugin,9,3,3
airlift/drift,1,1,1
kilim/kilim,1,1,1
openjfx/javafx-maven-plugin,3,3,1
fizzed/rocker,1,1,1
gitflow-incremental-builder/gitflow-incremental-builder,1,21,0
takari/takari-maven-plugin,2,1,1
temyers/cucumber-jvm-parallel-plugin,1,1,1
