repositoryName,org.springframework:spring-beans,org.springframework:spring-core,both
intive-FDV/DynamicJasper,0,0,0
nurkiewicz/spring-data-jdbc-repository,1,3,1
yandex-qatools/postgresql-embedded,1,0,0
crossoverJie/distributed-redis-tool,3,0,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,33,0,0
151376liujie/wechat-core,8,0,0
xiaolyuh/layering-cache,18,19,2
Tanaguru/Contrast-Finder,1,0,0
mrniko/netty-socketio,1,1,1
owlike/genson,0,3,0
stevensouza/automon,3,0,0
Kepler-Framework/Kepler-All,11,24,6
Cetsoft/imcache,3,0,0
tyronczt/imooc-o2o,31,0,0
dadoonet/spring-elasticsearch,7,2,1
sagframe/sagacity-sqltoy,9,1,1
apache/velocity-engine,2,4,1
iipc/openwayback,6,1,1
thymeleaf/thymeleafexamples-stsm,6,0,0
LuoLiangDSGA/spring-learning,18,7,1
ragnor/simple-spring-memcached,29,11,3
zhegexiaohuozi/SeimiCrawler,6,9,3
fmtn/a,1,0,0
xuxueli/xxl-rpc,8,2,2
Comcast/jrugged,14,6,1
ryantenney/metrics-spring,29,25,10
spring-projects/spring-hateoas,41,167,26
