repositoryName,org.springframework:spring-context,org.springframework:spring-core,both
RojerAlone/shop,24,1,0
nurkiewicz/spring-data-jdbc-repository,12,3,0
alibaba/COLA,44,6,3
yandex-qatools/postgresql-embedded,0,0,0
crossoverJie/distributed-redis-tool,2,0,0
OWASP/SecurityShepherd,0,0,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,54,0,0
151376liujie/wechat-core,23,0,0
xiaolyuh/layering-cache,26,19,4
funkygao/cp-ddd-framework,16,3,1
Tanaguru/Contrast-Finder,2,0,0
raphaeljolivet/java2typescript,2,0,0
dddplus/dddplus,16,3,1
owlike/genson,0,3,0
pure4j/pure4j,0,7,0
stevensouza/automon,5,0,0
Kepler-Framework/Kepler-All,6,24,2
Dempsy/dempsy,6,0,0
Cetsoft/imcache,6,0,0
tyronczt/imooc-o2o,21,0,0
dadoonet/spring-elasticsearch,27,2,0
sagframe/sagacity-sqltoy,9,1,1
apache/velocity-engine,1,4,0
apache/rocketmq-spring,20,10,5
dropwizard-jobs/dropwizard-jobs,5,0,0
iipc/openwayback,3,1,0
thymeleaf/thymeleafexamples-stsm,9,0,0
ccfish86/sctalk,65,9,4
LuoLiangDSGA/spring-learning,51,7,4
ragnor/simple-spring-memcached,18,11,2
zhegexiaohuozi/SeimiCrawler,8,9,4
fmtn/a,0,0,0
xuxueli/xxl-rpc,13,2,1
nginx-clojure/nginx-clojure,9,0,0
Comcast/jrugged,16,6,0
nacos-group/nacos-spring-project,49,35,18
spring-projects/spring-hateoas,75,167,37
highcharts/highcharts-export-server,4,1,0
cache2k/cache2k,4,2,2
mercyblitz/segmentfault-lessons,63,14,5
pjklauser/protobuf-rpc-pro,0,0,0
