repositoryName,org.springframework:spring-web,org.springframework:spring-webmvc,both
RojerAlone/shop,5,1,0
aliyun/alibabacloud-microservice-demo,12,2,2
crossoverJie/distributed-redis-tool,1,1,1
151376liujie/wechat-core,1,0,0
Tanaguru/Contrast-Finder,1,0,0
AzureAD/azure-activedirectory-library-for-java,0,0,0
sd4324530/fastweixin,1,0,0
binarywang/weixin-java-mp-demo-springmvc,1,0,0
owlike/genson,2,1,1
archine/tools,4,1,1
thymeleaf/thymeleaf-spring,13,18,7
tyronczt/imooc-o2o,8,1,0
OCR4all/OCR4all,1,1,1
senseidb/zoie,0,0,0
intuit/foremast,4,2,2
openzipkin/brave-example,1,1,1
3pillarlabs/socialauth,3,2,2
cloudinary/cloudinary_java,3,0,0
dandelion/dandelion-datatables,1,1,0
iipc/openwayback,2,0,0
thymeleaf/thymeleafexamples-stsm,2,2,1
CeON/CERMINE,1,1,1
youzan/bugCatcher,8,1,1
anji-plus/captcha,3,0,0
Wechat-Group/weixin-java-demo-springmvc,1,0,0
AliwareMQ/aliware-kafka-demos,0,0,0
spring-projects/spring-hateoas,14,9,9
highcharts/highcharts-export-server,2,2,1
dunwu/java-tutorial,1,1,1
