packageName,apis
org.dependencytrack.integrations.defectdojo,"[com.konghq:unirest-java,org.json:json,org.mock-server:mockserver-netty,us.springett:alpine]"
org.dependencytrack.resources.v1.serializers,[com.github.package-url:packageurl-java]
org.dependencytrack.policy,"[com.github.package-url:packageurl-java,org.json:json,us.springett:alpine]"
org.dependencytrack.util,"[com.github.package-url:packageurl-java,org.apache.commons:commons-compress,org.cyclonedx:cyclonedx-core-java,org.mockito:mockito-core,us.springett:alpine]"
org.dependencytrack.parser.npm,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.parser.github.graphql,[com.konghq:unirest-java]
org.dependencytrack.resources.v1,"[com.github.package-url:packageurl-java,org.cyclonedx:cyclonedx-core-java,org.json:json,us.springett:alpine,us.springett:cvss-calculator]"
org.dependencytrack.notification.publisher,"[com.konghq:unirest-java,io.pebbletemplates:pebble,org.mock-server:mockserver-netty,us.springett:alpine]"
org.dependencytrack.upgrade.v410,[us.springett:alpine]
org.dependencytrack.integration,[com.konghq:unirest-java]
org.dependencytrack.notification,[us.springett:alpine]
org.dependencytrack.event,[us.springett:alpine]
org.dependencytrack.integrations,"[org.json:json,org.mockito:mockito-core,us.springett:alpine]"
org.dependencytrack.parser.nvd,"[us.springett:alpine,us.springett:cpe-parser,us.springett:cvss-calculator]"
org.dependencytrack,[us.springett:alpine]
org.dependencytrack.upgrade.v400,[us.springett:alpine]
org.dependencytrack.upgrade,[us.springett:alpine]
org.dependencytrack.parser.cyclonedx.util,"[com.github.package-url:packageurl-java,org.cyclonedx:cyclonedx-core-java,org.json:json,us.springett:alpine]"
org.dependencytrack.persistence.defaults,"[org.json:json,us.springett:alpine]"
org.dependencytrack.persistence,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.model,"[com.github.package-url:packageurl-java,org.cyclonedx:cyclonedx-core-java,org.json:json,us.springett:alpine,us.springett:cpe-parser]"
org.dependencytrack.integrations.fortifyssc,"[com.konghq:unirest-java,org.json:json,org.mock-server:mockserver-netty,us.springett:alpine]"
org.dependencytrack.upgrade.v420,[us.springett:alpine]
org.dependencytrack.parser.ossindex,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1.misc,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.search,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,us.springett:alpine]"
org.dependencytrack.integrations.kenna,"[com.konghq:unirest-java,org.json:json,us.springett:alpine]"
org.dependencytrack.tasks,"[com.konghq:unirest-java,org.cyclonedx:cyclonedx-core-java,us.springett:alpine,us.springett:cpe-parser,us.springett:vulndb-data-mirror]"
org.dependencytrack.tasks.repositories,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,org.apache.maven:maven-artifact,org.mock-server:mockserver-netty,us.springett:alpine]"
org.dependencytrack.servlets,[us.springett:alpine]
org.dependencytrack.parser.vulndb,"[us.springett:alpine,us.springett:cvss-calculator,us.springett:vulndb-data-mirror]"
org.dependencytrack.common,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1.vo,[us.springett:alpine]
org.dependencytrack.tasks.scanners,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine,us.springett:cpe-parser,us.springett:cvss-calculator,us.springett:vulndb-data-mirror]"
